"Ticker","CurrentPrice","ATH","ATHDate","PercentageDiff","IsRecent","DaysSinceATH"
"AGFY","0.45","6,612.00","23/08/2021 00:00:00","99.99","True","931"
"AG","5.50","25.61","05/04/2011 00:00:00","78.52","True","4724"
"AGL","6.05","43.25","18/06/2021 00:00:00","86.00","True","997"
"AGIO","31.69","135.01","14/01/2015 00:00:00","76.53","True","3344"
"AFG","129.05","150.22","29/03/2022 00:00:00","14.09","True","713"
"AGD","9.55","50.72","17/07/2007 00:00:00","81.17","True","6082"
"AFL","82.17","85.73","30/01/2024 00:00:00","4.15","True","41"
"AGCO","113.16","156.60","27/04/2021 00:00:00","27.74","True","1049"
"AGEN","0.69","309.86","09/03/2000 00:00:00","99.78","True","8768"
"AGMH","1.81","42.40","19/11/2018 00:00:00","95.73","True","1939"
"AGI","13.57","20.98","06/12/2010 00:00:00","35.30","True","4844"
"AGNCL","23.88","23.88","11/03/2024 00:00:00","0.00","True","0"
"AGNCM","24.72","26.49","12/07/2021 00:00:00","6.68","True","973"
"AGNCN","25.70","27.02","30/06/2021 00:00:00","4.88","True","985"
"AGM_C","185.16","198.54","05/03/2024 00:00:00","6.74","True","6"
"AGNCO","24.39","26.39","17/09/2021 00:00:00","7.58","True","906"
"AGNCP","23.46","25.61","13/09/2021 00:00:00","8.40","True","910"
"AGRIW","0.01","0.01","08/03/2024 00:00:00","0.00","True","3"
"AGRI","0.17","280.00","09/07/2021 00:00:00","99.94","True","976"
"AGNC","9.88","36.68","17/09/2012 00:00:00","73.06","True","4193"
"AGM_E","185.16","198.54","05/03/2024 00:00:00","6.74","True","6"
"AGM_F","185.16","198.54","05/03/2024 00:00:00","6.74","True","6"
"AGTI","9.93","25.66","04/11/2021 00:00:00","61.32","True","858"
"AGM_D","185.16","198.54","05/03/2024 00:00:00","6.74","True","6"
"AGR","35.67","56.57","24/02/2020 00:00:00","36.94","True","1477"
"AGS","8.99","32.04","31/08/2018 00:00:00","71.94","True","2019"
"AGM","185.16","198.54","05/03/2024 00:00:00","6.74","True","6"
"AGM_G","185.16","198.54","05/03/2024 00:00:00","6.74","True","6"
"AGO","89.83","95.00","28/02/2024 00:00:00","5.44","True","12"
"AHCO","11.09","40.15","01/02/2021 00:00:00","72.38","True","1134"
"AGRX","0.74","25,760.00","16/04/2015 00:00:00","100.00","True","3252"
"AHG","1.31","41.97","16/11/2017 00:00:00","96.88","True","2307"
"AGRO","10.10","13.50","04/02/2011 00:00:00","25.22","True","4784"
"AHR","13.76","13.87","16/02/2024 00:00:00","0.83","True","24"
"AHH_A","10.62","19.11","24/01/2020 00:00:00","44.43","True","1508"
"AHL_C","10.62","19.11","24/01/2020 00:00:00","44.43","True","1508"
"AHH","10.62","19.11","24/01/2020 00:00:00","44.45","True","1508"
"AHL_D","10.62","19.11","24/01/2020 00:00:00","44.43","True","1508"
"AHL_E","10.62","19.11","24/01/2020 00:00:00","44.43","True","1508"
"AGX","49.16","75.70","25/01/2017 00:00:00","35.06","True","2602"
"AI","31.81","177.47","22/12/2020 00:00:00","82.08","True","1175"
"AIBBR","0.12","0.12","08/03/2024 00:00:00","0.00","True","3"
"AIB","11.55","11.95","27/09/2023 00:00:00","3.35","True","166"
"AGYS","75.93","91.40","12/02/2024 00:00:00","16.92","True","28"
"AHT_D","1.51","1,118.77","23/07/2014 00:00:00","99.87","True","3519"
"AIF","15.06","20.03","26/03/2013 00:00:00","24.81","True","4003"
"AHT_F","1.51","1,118.77","23/07/2014 00:00:00","99.87","True","3519"
"AHT_I","1.51","1,118.77","23/07/2014 00:00:00","99.87","True","3519"
"AHT_H","1.51","1,118.77","23/07/2014 00:00:00","99.87","True","3519"
"AIH","0.48","10.75","01/06/2021 00:00:00","95.53","True","1014"
"AIHS","1.05","80.60","09/05/2018 00:00:00","98.70","True","2133"
"AHT_G","1.51","1,118.77","23/07/2014 00:00:00","99.87","True","3519"
"AHT","1.48","1,118.77","23/07/2014 00:00:00","99.87","True","3519"
"AIMAU","11.25","12.58","07/03/2024 00:00:00","10.60","True","4"
"AIMBU","11.08","11.08","23/02/2024 00:00:00","0.00","True","17"
