Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BRIA,BrilliA Inc Class A Ordinary Shares,$2.55,-0.38,-12.969%,78093750.00,,2024,298935,Consumer Discretionary,Apparel
BRN,Barnwell Industries Inc. Common Stock,$1.14,0.00,0.00%,11483829.00,United States,1965,19593,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.29,0.12,2.878%,5675610729.00,Canada,,55267592,Basic Materials,Precious Metals
BURU,Nuburu Inc. Common Stock,$0.1392,-0.0021,-1.486%,11129446.00,United States,,18210487,Miscellaneous,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$0.6554,0.004,0.614%,6785414.00,Israel,,204681,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$3.43,-0.03,-0.867%,254722056.00,United States,,455622,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$4.3199,-0.2301,-5.057%,34806082.00,United States,2022,29206,Health Care,Misc Health and Biotechnology Services
CET,Central Securities Corporation Common Stock,$50.09,-0.13,-0.259%,12123042268.00,United States,1951,15532,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$9.787,0.162,1.683%,68837599.00,United States,1999,81933,Finance,Finance/Investors Services
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.98,0.005,0.168%,0.00,United States,,370458,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$23.14,-0.24,-1.027%,285155539.00,United States,1998,6254,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$11.70,-0.1095,-0.927%,24021609.00,United States,2003,1020,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$1.65,0.05,3.125%,5653570.00,,2021,327380,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Investment Fund Inc. Common Shares,$8.18,-0.03,-0.365%,0.00,United States,2003,1560033,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$30.37,1.96,6.899%,585982590.00,Canada,,907289,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$19.86,0.07,0.354%,175918033.00,United States,1996,35171,Industrials,Plastic Products
CNL,Collective Mining Ltd. Common Shares,$13.67,-0.33,-2.357%,1159954535.00,,2024,99698,,
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$46.40,-1.59,-3.313%,271879640.00,China,2016,23680,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$12.00,-0.11,-0.908%,24430356.00,United States,,3833,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$1.7791,0.1041,6.215%,5803428.00,China,,228205,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.92,0.00,0.00%,0.00,United States,2003,1041531,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$21.89,0.31,1.437%,277335596.00,United States,2021,91050,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$1.13,0.05,4.63%,105090660.00,,2022,2301068,Consumer Discretionary,Professional Services
CVM,Cel-Sci Corporation Common Stock,$10.35,-0.14,-1.335%,71230315.00,United States,1997,205582,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$9.4296,0.2296,2.496%,9110238.00,United States,1930,10914,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$2.52,0.10,4.132%,32837472.00,United States,2022,18107,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$6.27,-0.46,-6.835%,147909457.00,Canada,,612462,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$4.59,0.15,3.378%,515658327.00,United States,2022,996054,Basic Materials,Metal Mining
DDC,DDC Enterprise Limited Class A Ordinary Shares,$11.38,0.44,4.022%,46090696.00,,2023,47377,Consumer Staples,Packaged Foods
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.10,0.01,0.478%,0.00,United States,1998,965069,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$115.99,1.00,0.87%,74867137.00,United States,1999,385,Consumer Discretionary,Food Distributors
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$12.03,-0.1982,-1.621%,0.00,,2022,37740,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$2.38,0.03,1.277%,2133795845.00,Canada,,57208705,Basic Materials,Other Metals and Minerals
DSS,DSS Inc. Common Stock,$1.25,0.00,0.00%,11365648.00,United States,,1413487,Consumer Discretionary,Containers/Packaging
DVS,Dolly Varden Silver Corporation Common Shares,$4.11,0.09,2.239%,358248787.00,,2025,1035641,,
DXF,Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60000) Ordinary Shares),$4.79,0.32,7.159%,1194933.00,,,193488,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$7.12,-0.01,-0.14%,0.00,United States,2003,155993,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$11.20,0.11,0.992%,0.00,United States,1986,18888,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$21.99,0.2876,1.325%,,United States,,3246,,
EGG,Enigmatig Limited Class A Ordinary Shares,$5.83,-0.28,-4.583%,167612500.00,,2025,3512,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.38,0.15,1.466%,0.00,United States,2002,171046,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$7.63,0.14,1.869%,198115064.00,United States,,93149,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$18.86,0.54,2.948%,242399753.00,Israel,,1614,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$24.96,0.49,2.002%,208395433.00,United States,2011,57740,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$4.29,0.22,5.405%,467893269.00,Canada,,2400864,Basic Materials,Metal Mining
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.60,0.05,0.524%,0.00,United States,2002,27996,Finance,Finance/Investors Services
EONR,EON Resources Inc. Class A Common Stock,$0.343,-0.002,-0.58%,12794365.00,,2022,1006148,Energy,Oil & Gas Production
EP,Empire Petroleum Corporation Common Stock,$4.51,-0.45,-9.073%,152242243.00,United States,2022,55036,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.17,0.10,1.972%,177370499.00,United States,,202547,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$9.83,0.05,0.511%,7474725709.00,Canada,,17386648,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.62,0.06,0.628%,0.00,United States,2003,112714,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$11.93,-0.04,-0.334%,0.00,,2004,23326,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$47.95,-2.17,-4.33%,135765582.00,United States,1960,33059,Technology,Industrial Machinery/Components
EVI,EVI Industries Inc.  Common Stock,$28.37,-0.03,-0.106%,361964631.00,United States,1999,7550,Consumer Discretionary,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.24,0.08,0.873%,0.00,United States,2002,61106,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$10.395,0.035,0.338%,0.00,United States,2003,268953,Finance,Finance/Investors Services
EXOD,Exodus Movement Inc. Class A Common Stock,$26.30,2.27,9.447%,764529218.00,United States,,122555,Finance,Finance: Consumer Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$16.43,0.00,0.00%,0.00,United States,1986,82365,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$6.66,0.01,0.15%,0.00,United States,1992,38162,Finance,Investment Managers
FLYX,flyExclusive Inc. Class A Common Stock,$4.29,0.07,1.659%,343755924.00,,2023,19190,Consumer Discretionary,Transportation Services
FSI,Flexible Solutions International Inc. Common Stock (CDA),$9.59,0.09,0.947%,121376142.00,Canada,2002,73537,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$1.69,0.01,0.595%,175236675.00,United States,,239178,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.43,0.00,0.00%,259806555.00,United States,2003,111733,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.7099,0.0352,5.217%,121858627.00,,2020,918797,Basic Materials,Precious Metals
GAU,Galiano Gold Inc.,$2.62,0.08,3.15%,677203908.00,Canada,,3737544,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$0.9786,0.0054,0.555%,5022111.00,United States,1993,17038,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$16.10,-0.04,-0.248%,235989002.00,United States,,27616,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.85,0.04,0.832%,0.00,United States,2005,374563,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$21.30,0.20,0.948%,,United States,,9087,,
GLDG,GoldMining Inc. Common Shares,$1.22,0.12,10.909%,242844910.00,,,3853767,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$5.63,0.01,0.178%,0.00,United States,2006,72184,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$7.43,0.01,0.135%,0.00,United States,2005,17449,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$17.927,0.0169,0.094%,107004667.00,United States,2004,7544,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$50.17,1.97,4.087%,,United States,,248,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$50.695,0.16,0.317%,,United States,,594,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.823,0.003,0.052%,74007902.00,United States,2004,16956,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.8115,0.0115,1.438%,52253581.00,Singapore,2022,1146904,Consumer Discretionary,Services-Misc. Amusement & Recreation
GORO,Gold Resource Corporation Common Stock,$0.85,0.097,12.882%,115982271.00,United States,,5191201,Basic Materials,Precious Metals
GPUS,Hyperscale Data Inc. Common Stock,$0.3763,-0.0628,-14.302%,12095957.00,United States,1997,5001740,Technology,Industrial Machinery/Components
GPUS^D,Hyperscale Data Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$25.00,0.57,2.333%,,United States,,4940,,
GRAF,Graf Global Corp. Class A ordinary shares,$10.49,0.00,0.00%,0.00,,2024,164,,
GRF,Eagle Capital Growth Fund Inc. Common Stock,$10.52,0.00,0.00%,0.00,United States,,23,Finance,Finance/Investors Services
GRO,Brazil Potash Corp. Common Shares,$2.05,0.19,10.215%,78748161.00,,2024,1042574,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GROY,Gold Royalty Corp. Common Shares,$3.83,-0.01,-0.26%,653817040.00,Canada,2021,2908322,Basic Materials,Precious Metals
GTE,Gran Tierra Energy Inc. Common Stock,$3.82,-0.12,-3.046%,134803923.00,Canada,,345926,Energy,Oil & Gas Production
HCWC,Healthy Choice Wellness Corp. Class A Common Stock,$0.4301,0.0076,1.799%,5934986.00,,2024,311450,Consumer Staples,Food Chains
HNW,Pioneer Diversified High Income Fund Inc.,$12.805,0.02,0.156%,0.00,United States,2007,63547,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$6.55,-0.91,-12.198%,221667831.00,United States,,200505,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$69.50,-0.4999,-0.714%,,United States,,1283,,
HYLN,Hyliion Holdings Corp. Class A Common Stock,$1.65,-0.11,-6.25%,289470449.00,United States,2019,837565,Consumer Discretionary,Construction/Ag Equipment/Trucks
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.585,0.045,0.991%,0.00,United States,1985,15626,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$0.864,0.0141,1.659%,705064859.00,Canada,2022,5644914,Basic Materials,Precious Metals
IBO,Impact BioMedical Inc. Common Stock,$0.612,0.007,1.157%,7457472.00,,2024,170982,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$29.17,1.33,4.777%,423122285.00,United States,2022,506257,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$8.87,-0.05,-0.561%,1178088857.00,Canada,2022,765399,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.4153,-0.0184,-4.243%,37713024.00,United States,,982373,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.8292,0.00,0.00%,16030167.00,United States,1999,222,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$87.42,0.14,0.16%,44500710665.00,Canada,1929,406388,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$2.86,-0.02,-0.694%,39782709.00,,2019,148075,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$10.26,0.10,0.984%,209570391.00,United States,,307478,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$11.25,-0.056,-0.495%,50390134.00,,2022,923,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$7.20,-0.07,-0.963%,89839267.00,United States,1997,102662,Industrials,Electrical Products
INUV,Inuvo Inc.,$3.52,0.16,4.762%,51377452.00,United States,,172652,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$18.20,0.00,0.00%,74004440.00,United States,1987,125,Real Estate,Real Estate Investment Trusts
ISOU,IsoEnergy Ltd. Common Shares,$8.54,0.30,3.641%,410582508.00,,2025,55228,,
ITP,IT Tech Packaging Inc. Common Stock,$0.204,-0.004,-1.923%,3460946.00,China,,36629771,Consumer Discretionary,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$2.59,0.03,1.172%,437714636.00,,,2368390,Basic Materials,Precious Metals
JOB,GEE Group Inc. Common Stock,$0.19,-0.0001,-0.053%,20788516.00,United States,1968,98949,Consumer Discretionary,Diversified Commercial Services
KAPA,Kairos Pharma Ltd. Common Stock,$1.85,0.13,7.558%,38375965.00,,2024,3785377,Health Care,Biotechnology: Pharmaceutical Preparations
KULR,KULR Technology Group Inc. Common Stock,$4.12,0.07,1.728%,169367197.00,United States,,1141321,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.24,0.02,1.639%,283161800.00,United States,,652579,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEGT,Legato Merger Corp. III Ordinary Shares,$10.73,0.00,0.00%,0.00,,2024,14,,
LEU,Centrus Energy Corp. Class A Common Stock,$204.68,-0.71,-0.346%,3726781101.00,United States,2014,764541,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGCY,Legacy Education Inc. Common Stock,$12.86,0.43,3.459%,159213963.00,,2024,60775,Real Estate,Other Consumer Services
LGL,LGL Group Inc. (The) Common Stock,$6.62,0.01,0.151%,35709955.00,United States,1946,1061,Technology,Industrial Machinery/Components
LGPS,LogProstyle Inc. Common Shares,$1.01,0.0352,3.611%,23888631.00,,2025,39397,Consumer Discretionary,Homebuilding
LODE,Comstock Inc. Common Stock,$2.42,0.04,1.681%,86952809.00,United States,,899596,Industrials,Major Chemicals
LPA,Logistic Properties of the Americas Ordinary Shares,$6.25,-0.09,-1.42%,197928756.00,,2024,17430,Finance,Real Estate
LSF,Laird Superfood Inc. Common Stock,$5.75,0.00,0.00%,61321007.00,,2020,42550,Consumer Staples,Packaged Foods
LUD,Luda Technology Group Limited Ordinary Shares,$13.16,3.00,29.528%,298600400.00,,2025,55997,,
LXFR,Luxfer Holdings PLC Ordinary Shares,$13.61,-0.09,-0.657%,364259088.00,United Kingdom,2012,80879,Basic Materials,Major Chemicals
MAIA,MAIA Biotechnology Inc. Common Stock,$1.59,0.05,3.247%,52459220.00,,2022,312219,Health Care,Biotechnology: Pharmaceutical Preparations
MCRP,Micropolis Holding Company Ordinary Shares,$1.61,0.05,3.205%,56170400.00,,2025,99049,,
MGLD,The Marygold Companies Inc. Common Stock,$1.05,0.01,0.962%,44978589.00,,2022,11674,Finance,Finance: Consumer Services
MHH,Mastech Digital Inc Common Stock,$7.78,-0.207,-2.592%,91680944.00,United States,,7604,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$4.29,1.06,32.817%,21729494.00,,2023,125666,Consumer Discretionary,Other Specialty Stores
MITQ,Moving iMage Technologies Inc. Common Stock,$0.8299,0.0799,10.653%,8243960.00,United States,2021,230315,Consumer Discretionary,Industrial Machinery/Components
MLSS,Milestone Scientific Inc. Common Stock,$0.6061,-0.011,-1.783%,47614699.00,United States,2015,34439,Health Care,Industrial Specialties
MMA,Mixed Martial Arts Group Limited Ordinary Shares,$0.85,0.011,1.311%,8740283.00,,2024,1258503,Consumer Discretionary,Other Consumer Services
MPTI,M-tron Industries Inc. Common Stock,$45.96,1.04,2.315%,134382674.00,United States,2022,19116,Technology,Industrial Machinery/Components
MPU,Mega Matrix Inc. Class A Ordinary Shares,$1.39,-0.38,-21.469%,53587037.00,United States,1998,1152207,Consumer Discretionary,Diversified Commercial Services
MRT,Marti Technologies Inc. Class A Ordinary Shares,$2.435,0.022,0.912%,185655014.00,,2021,16638,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.4274,0.0144,3.487%,8993629.00,United States,1994,23641,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$5.57,-0.03,-0.536%,515461045.00,,,787909,Basic Materials,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$1.67,-0.05,-2.907%,8495265.00,United States,2017,45899,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.2911,-0.0357,-10.924%,9702363.00,,2023,255881,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$8.30,-0.30,-3.488%,16981800.00,United States,2003,3740,Energy,Oil & Gas Production
MYND,Mynd.ai Inc. American Depositary Shares,$0.6774,0.1072,18.80%,30921808.00,,2017,407769,Real Estate,Other Consumer Services
MYO,Myomo Inc. Common Stock,$0.9931,-0.0047,-0.471%,37540243.00,United States,2017,646214,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.823,-0.022,-2.604%,454089543.00,Canada,,4244763,Basic Materials,Precious Metals
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.21,0.12,1.189%,0.00,United States,2002,149817,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$2.70,-1.03,-27.614%,15723442.00,United States,2007,3438643,Health Care,Biotechnology: Pharmaceutical Preparations
NCL,Northann Corp. Common Stock,$0.1489,0.0009,0.608%,14214590.00,,2023,1068433,Industrials,Plastic Products
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$72.00,0.00,0.00%,202955760.00,United States,,134,Real Estate,Building operators
NEWP,New Pacific Metals Corp. Common Shares,$2.03,-0.02,-0.976%,349473600.00,Canada,2021,484264,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$1.91,0.11,6.111%,440709569.00,,2021,3831380,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$6.73,-0.03,-0.444%,2738421164.00,Canada,2003,3130483,Basic Materials,Precious Metals
NGD,New Gold Inc.,$6.52,0.22,3.492%,5161884000.00,Canada,,22006139,Basic Materials,Metal Mining
NHC,National HealthCare Corporation Common Stock,$115.93,0.99,0.861%,1797020612.00,United States,1986,34407,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$7.56,0.07,0.935%,0.00,United States,,188345,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$8.62,0.00,0.00%,0.00,United States,2013,235119,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.44,-0.05,-3.356%,23143680.00,United States,,59965,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,$3.28,0.00,0.00%,0.00,United States,2003,130384,Finance,Finance/Investors Services
NRXS,Neuraxis Inc. Common Stock,$2.42,-0.01,-0.412%,23858093.00,,2023,13251,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NSRX,Nasus Pharma Ltd. Ordinary Shares,$8.01,0.03,0.376%,72170092.00,,2025,13668,Health Care,Biotechnology: Pharmaceutical Preparations
NTIP,Network-1 Technologies Inc. Common Stock,$1.62,0.03,1.887%,36924402.00,United States,,80080,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$5.84,0.00,0.00%,411830358.00,Canada,2022,186258,Energy,Oil & Gas Production
OGEN,Oragenics Inc. Common Stock,$1.17,0.09,8.333%,4828792.00,United States,,242237,Health Care,Biotechnology: Pharmaceutical Preparations
OPHC,OptimumBank Holdings Inc. Common Stock,$4.25,0.02,0.473%,49942099.00,United States,,3743,Finance,Major Banks
OPP^C,RiverNorth/DoubleLine Strategic Opportunity Fund Inc. 6.00% Series C Term Preferred Stock (Liquidation Preference $10.00 per share),$10.16,0.00,0.00%,,United States,,1100,,
OPTT,Ocean Power Technologies Inc. Common Stock,$0.4988,-0.0007,-0.14%,88558336.00,United States,2007,2813194,Utilities,Electric Utilities: Central
ORLA,Orla Mining Ltd. Common Shares,$11.60,-0.12,-1.024%,3779405524.00,,2020,1111785,Basic Materials,Precious Metals
OSTX,OS Therapies Incorporated Common Stock,$2.24,0.04,1.818%,71437930.00,,2024,418922,Health Care,Biotechnology: Pharmaceutical Preparations
OZ,Belpointe PREP LLC Class A Units,$64.00,-0.10,-0.156%,248750272.00,,,7204,Real Estate,Real Estate Investment Trusts
